Amplitude,Latency,AUC,Thickness,nTurns,nPhases,Duration,T1T,T1A,T2T,T2A,timeDiff,ampRatio
1813.44159064272,17.1324018629408,8850.77278061602,4.88064949336423,3,2,32.435129740519,20.8250166333999,1159.15637446943,29.6407185628743,-654.285216173289,8.81570192947439,1.77163772895402
3080.33079653384,16.6001330671989,19208.6888239947,6.23591753379521,3,2,35.9946773120426,20.791749833666,1825.38307004997,30.1064537591484,-1254.94772648387,9.31470392548236,1.45454908720729
3201.10093892387,16.6666666666667,17550.8043109991,5.4827400465851,3,2,39.5209580838323,20.7584830339321,1838.86973086331,29.7737857618097,-1362.23120806056,9.01530272787758,1.34989546560261
329.109409760756,16.833000665336,1566.3905443447,4.75948270662748,2,2,32.7677977378576,20.6586826347305,203.056449743846,28.6427145708583,-126.05296001691,7.98403193612775,1.61088204288583
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2161.90224115491,16.6666666666667,11236.450850505,5.19748332584289,4,3,53.7924151696607,20.9248170326015,1230.7505133224,29.7405189620759,-931.151727832512,8.81570192947439,1.32175077007834
2434.49868931519,16.9993346640053,12066.5992293741,4.95650266000694,3,2,33.8656021290752,20.8915502328676,1481.31629885838,29.6739853626081,-953.182390456808,8.78243512974052,1.55407434473109
250.134553979518,17.9640718562874,1225.59521531929,4.89974374120116,4,2,30.9048569527612,21.8895542248836,172.87921513191,30.3060545575516,-77.2553388476083,8.41650033266799,2.23776398771516
1239.56055618911,17.065868263473,5549.67583459574,4.47713167935708,3,3,33.0339321357285,21.0578842315369,886.206350478483,29.940119760479,-353.354205710626,8.8822355289421,2.50798302710518
3800.36840441438,16.7664670658683,20552.4252640626,5.40800866573609,3,2,33.898868928809,20.6586826347305,2171.61914865299,30.0066533599468,-1628.74925576139,9.34797072521623,1.3333047680429
0,0,0,0,0,0,0,0,0,0,0,0,0
317.701554016074,18.063872255489,1540.32651008673,4.84834427347117,2,2,31.0046573519627,22.521623419827,159.451264783033,29.4078509647372,-158.250289233041,6.88622754491018,1.00758908913097
1672.60785829007,16.9993346640053,10033.7295543068,5.99885352958012,3,2,36.7930805056554,21.5901530272788,1013.20423163057,30.0066533599468,-659.403626659494,8.41650033266799,1.53654634379767
0,0,0,0,0,0,0,0,0,0,0,0,0
2402.4001525152,16.7997338656021,13549.198385404,5.63985910974018,3,2,38.4231536926148,21.0911510312708,1400.19228403818,29.6074517631404,-1002.20786847702,8.51630073186959,1.39710765408972
1328.91834495306,17.4983366600133,7874.10216937685,5.92519638191537,3,2,33.3333333333333,21.290751829674,898.252872242824,30.5389221556886,-430.665472710239,9.24817032601464,2.08573226590465
1217.23904962136,17.2322022621424,5834.26169064957,4.79302869265031,4,2,37.3918829008649,21.1576846307385,744.772315612267,29.4743845642049,-472.466734009091,8.3166999334664,1.57634868658909
452.05637576475,18.1304058549567,2194.13671078562,4.85367938251898,3,2,35.7285429141717,22.0891550232868,268.78868864169,28.9421157684631,-183.267687123061,6.8529607451763,1.46664528188869
0,0,0,0,0,0,0,0,0,0,0,0,0
2852.12753977779,16.5335994677312,15314.0428838718,5.3693401400503,4,2,43.5462408516301,20.8250166333999,1593.61901890323,29.6407185628743,-1258.50852087456,8.81570192947439,1.26627590713156
2293.78200495502,17.2654690618762,13351.878136489,5.82090107414145,3,2,33.5662009314704,21.0911510312708,1430.52490519188,29.9068529607452,-863.257099763139,8.81570192947437,1.65712498117234
0,0,0,0,0,0,0,0,0,0,0,0,0
1874.03756339772,17.2322022621424,9029.8613506092,4.8183993357303,4,2,37.7245508982036,21.1576846307385,1129.32099283078,29.6407185628743,-744.716570566937,8.48303393213573,1.51644402375934
1797.86578396713,17.0991350632069,10008.2950520453,5.5667642942518,4,2,39.4876912840985,21.290751829674,1126.75483587832,30.0066533599468,-671.110948088818,8.71590153027279,1.67893973282223
1214.77847695612,17.831004657352,7300.23385062981,6.00951859875065,4,2,34.7638057218896,21.5901530272788,868.837532060439,29.5741849634065,-345.940944895684,7.98403193612775,2.51151979804654
